date,daily_incidence,daily_deaths,daily_recoveries,I_proxy_D5,I_proxy_D7,I_proxy_D10,I_proxy_D14,I_proxy,observed_simple,observed_context,context_activity,gap_length,H_synthetic_seiqhrs
2020-04-06,76,0,0,94,137,286,286,94,1,1,24,0,19.950477628714687
2020-04-07,24,1,0,100,161,310,310,100,1,1,76,0,21.08315280878694
2020-04-08,0,0,0,100,118,161,310,100,0,0,100,4,22.233713121108757
2020-04-09,0,0,0,100,100,161,310,100,0,0,353,4,23.35165146649847
2020-04-10,0,0,0,100,100,161,310,100,0,0,277,4,24.932892779281676
2020-04-11,0,0,0,24,100,118,310,24,0,0,323,4,26.559300977916184
2020-04-12,253,0,0,253,353,353,414,253,1,1,70,0,27.506262107235216
2020-04-13,0,0,0,253,277,353,414,253,0,0,328,1,30.33470727366573
2020-04-14,70,0,0,323,323,423,484,323,1,1,258,0,33.082957213735334
2020-04-15,0,0,0,323,323,423,441,323,0,0,328,1,35.19661904511914
2020-04-16,5,2,0,328,328,352,428,328,1,1,70,0,40.68535198304939
2020-04-17,0,0,0,75,328,328,428,75,0,0,75,5,46.06012892060076
2020-04-18,0,0,0,75,328,328,428,75,0,1,5,5,50.22418086516702
2020-04-19,0,0,0,5,75,328,428,5,0,0,643,5,54.27016897302311
2020-04-20,0,0,0,5,75,328,352,5,0,0,638,5,57.6931073881785
2020-04-21,0,0,0,0,5,328,328,0,0,0,638,5,57.22399484251598
2020-04-22,638,2,0,638,643,713,966,638,1,1,271,0,56.72651643136004
2020-04-23,0,0,0,638,638,713,966,638,0,0,909,2,60.50980974864316
2020-04-24,0,0,0,638,638,643,966,638,0,0,1029,2,64.1858349217281
2020-04-25,271,1,0,909,909,914,1237,909,1,1,1162,0,67.68263333646439
2020-04-26,0,0,0,909,909,909,984,909,0,0,795,1,82.90861996277717
2020-04-27,120,5,0,391,1029,1029,1104,391,1,1,675,0,97.70290246466227
2020-04-28,404,1,0,795,1433,1433,1438,795,1,1,486,0,107.76105433141944
2020-04-29,0,0,0,795,795,1433,1438,795,0,0,1169,2,124.9656929450412
2020-04-30,0,0,0,524,795,1433,1433,524,0,0,1169,2,141.68252649019192
2020-05-01,95,1,0,619,890,1528,1528,619,1,1,954,0,147.89705242592916
2020-05-02,550,0,0,1049,1169,1440,2078,1049,1,1,95,0,160.78704387016418
2020-05-03,0,0,0,645,1169,1440,2078,645,0,0,1016,3,176.89489725944844
2020-05-04,0,0,0,645,1049,1440,2078,645,0,0,1016,3,185.11437618936293
2020-05-05,0,0,0,645,645,1169,2078,645,0,0,1843,3,194.52580730163663
2020-05-06,371,0,0,921,1016,1540,1811,921,1,1,1173,0,210.1203950409552
2020-05-07,0,0,0,371,1016,1420,1811,371,0,0,1981,1,221.5128276667142
2020-05-08,922,0,0,1293,1843,1938,2733,1293,1,1,1486,0,227.9989160257594
2020-05-09,251,4,0,1544,1544,2189,2713,1544,1,1,2157,0,241.9844369198039
2020-05-10,437,0,0,1981,1981,2626,3150,1981,1,1,1600,0,261.8050914215805
2020-05-11,427,0,0,2037,2408,2958,3457,2037,1,1,2013,0,276.4554353265941
2020-05-12,0,0,0,2037,2408,2408,3053,2037,0,0,1626,2,304.9870630371632
2020-05-13,0,0,0,1115,2037,2408,3053,1115,0,0,1472,2,336.47473027367005
2020-05-14,403,2,0,1267,2440,2811,3456,1267,1,1,632,0,365.94129077908457
2020-05-15,108,4,0,938,1626,2919,3469,938,1,1,683,0,396.6790492216122
2020-05-16,97,1,0,608,1472,2645,3016,608,1,1,872,0,423.8036298487396
2020-05-17,0,0,0,608,1035,2645,3016,608,0,0,1142,1,433.5791441672269
2020-05-18,183,2,0,791,791,1906,3199,791,1,1,773,0,445.35749222035054
2020-05-19,178,0,0,566,969,1833,3377,566,1,1,801,0,453.3918874362445
2020-05-20,173,0,0,631,1142,1569,3179,631,1,1,775,0,454.3734825340174
2020-05-21,217,0,0,751,956,1359,3396,751,1,1,731,0,455.8689130214024
2020-05-22,131,0,0,882,979,1490,2605,882,1,1,915,0,461.0669433986964
2020-05-23,66,1,0,765,948,1556,2420,765,1,1,955,0,463.8342600982596
2020-05-24,0,0,0,587,948,1153,1983,587,0,0,1034,1,466.5231147538108
2020-05-25,281,0,0,695,1046,1326,1837,695,1,1,849,0,469.4523986752431
2020-05-26,153,2,0,631,1021,1382,1990,631,1,1,998,0,475.1636282776653
2020-05-27,186,0,0,686,1034,1568,2176,686,1,1,1007,0,478.42459340656416
2020-05-28,313,0,0,933,1130,1698,2086,933,1,1,1074,0,479.3814333549206
2020-05-29,152,1,0,1085,1151,1672,2130,1085,1,1,1181,0,483.9894772451128
2020-05-30,108,1,0,912,1193,1607,2141,912,1,1,1323,0,488.773535411308
2020-05-31,194,0,0,953,1387,1584,2335,953,1,1,1388,0,492.8052839674572
2020-06-01,227,2,0,994,1333,1680,2379,994,1,1,1325,0,500.769386566529
2020-06-02,251,0,0,932,1431,1865,2452,932,1,1,1443,0,511.12934872867777
2020-06-03,337,0,0,1117,1582,2202,2616,1117,1,1,1425,0,518.0839070428474
2020-06-04,283,4,0,1292,1552,2204,2682,1292,1,1,1557,0,526.9979486436188
2020-06-05,294,2,0,1392,1694,2345,2845,1392,1,1,1319,0,537.7325827459588
2020-06-06,176,0,0,1341,1762,2335,2955,1341,1,1,1477,0,548.0661898843366
2020-06-07,272,4,0,1362,1840,2294,3227,1362,1,1,1201,0,560.4568070883778
2020-06-08,0,0,0,1025,1613,2142,2946,1025,0,0,1688,1,575.2961117185629
2020-06-09,291,0,0,1033,1653,2325,3084,1033,1,1,1365,0,588.4063425294471
2020-06-10,157,0,0,896,1473,2288,3055,896,1,1,1627,0,600.4465241469909
2020-06-11,498,0,0,1218,1688,2559,3240,1218,1,1,1556,0,611.3186624639119
2020-06-12,262,0,0,1208,1656,2570,3350,1208,1,1,1792,0,619.5108751442908
2020-06-13,304,3,0,1512,1784,2537,3546,1512,1,1,1688,0,627.5074797567589
2020-06-14,542,3,0,1763,2054,2796,3894,1763,1,1,1690,0,635.7556890657012
2020-06-15,0,0,0,1606,2054,2502,3667,1606,0,0,2073,1,650.6917026279766
2020-06-16,229,4,0,1337,1992,2555,3645,1337,1,1,1856,0,663.7459003716393
2020-06-17,397,8,0,1472,2232,2680,3705,1472,1,1,1898,0,678.7483043005335
2020-06-18,339,0,10074,1507,2073,3019,3761,1507,1,1,1851,0,698.2153433705594
2020-06-19,274,4,399,1239,2085,3002,3741,1239,1,1,2330,0,715.067097942235
2020-06-20,514,15,0,1753,2295,3359,4079,1753,1,1,2306,0,725.1727194733411
2020-06-21,437,0,434,1961,2190,3298,4244,1961,1,1,2446,0,741.3001485052052
2020-06-22,414,10,171,1978,2604,3450,4658,1978,1,1,2489,0,759.228648047287
2020-06-23,445,0,353,2084,2820,3591,4812,2084,1,1,2783,0,772.7704854766222
2020-06-24,460,0,323,2270,2883,3509,5115,2270,1,1,2565,0,794.5217029879152
2020-06-25,359,8,503,2115,2903,3868,4976,2115,1,1,2838,0,820.3262057639726
2020-06-26,599,0,466,2277,3228,4238,5313,2277,1,1,2574,0,844.3624038816433
2020-06-27,311,9,274,2174,3025,4152,5320,2174,1,1,2810,0,870.6571009499813
2020-06-28,609,0,0,2338,3197,4422,5387,2338,1,1,2052,0,898.1379281589417
2020-06-29,390,0,556,2268,3173,4538,5777,2268,1,1,3863,0,923.8812550262194
2020-06-30,393,5,0,2302,3121,4417,5941,2302,1,1,4253,0,950.7413450959187
2020-07-01,0,0,780,1703,2661,3980,5544,1703,0,0,5226,1,975.5782013210616
2020-07-02,1951,5,540,3343,4253,5517,7156,3343,1,1,3520,0,997.1791886801428
2020-07-03,992,7,1200,3726,4646,6064,7874,3726,1,1,4730,0,1030.7843874631867
2020-07-04,891,0,1086,4227,5226,6495,8251,4227,1,1,4438,0,1067.1384409032123
2020-07-05,854,0,408,4688,5471,6990,8668,4688,1,1,5260,0,1097.651743745927
2020-07-06,641,0,1058,5329,5722,7032,8895,5329,1,1,3792,0,1155.7415661216344
2020-07-07,0,0,590,3378,5329,6721,8450,3378,0,0,3441,1,1223.2710278466768
2020-07-08,785,6,619,3171,6114,6897,8775,3171,1,1,2499,0,1280.1424857567567
2020-07-09,270,4,356,2550,4433,6777,8686,2550,1,1,2160,0,1340.5914607752804
2020-07-10,0,0,880,1696,3441,6384,8087,1696,0,0,2662,1,1403.76651915422
2020-07-11,734,0,330,1789,3284,7118,8510,1789,1,1,1928,0,1428.768701276435
2020-07-12,0,0,114,1789,2430,5167,7901,1789,0,0,2812,1,1450.731993695358
2020-07-13,873,0,759,1877,2662,5048,8384,1877,1,1,2276,0,1462.7575583951543
2020-07-14,0,0,645,1607,2662,4157,7991,1607,0,0,3912,1,1462.3654942294531
2020-07-15,935,6,129,2542,2812,4238,8926,2542,1,1,2802,0,1461.129546303476
2020-07-16,607,3,205,2415,3149,4204,7582,2415,1,1,3130,0,1467.720308015785
2020-07-17,763,5,1652,3178,3912,4967,7353,3178,1,1,3478,0,1474.3858677809783
2020-07-18,559,0,430,2864,3737,4741,7021,2864,1,1,3682,0,1483.170771508053
2020-07-19,0,0,759,2864,3737,4471,6167,2864,0,0,4791,1,1503.114929197464
2020-07-20,1377,0,1711,3306,4241,5848,6903,3306,1,1,3397,0,1520.5886079235695
2020-07-21,0,0,0,2699,4241,5114,6903,2699,0,0,4543,1,1552.6951867897371
2020-07-22,1485,0,637,3421,4791,6599,7603,3421,1,1,3154,0,1574.1231108532331
2020-07-23,590,8,0,3452,4774,6316,7923,3452,1,1,4831,0,1600.9601532239255
2020-07-24,532,7,489,3984,4543,6848,8455,3984,1,1,4248,0,1633.9246152240837
2020-07-25,655,0,874,3262,4639,6568,8376,3262,1,1,4484,0,1661.282765430512
2020-07-26,782,0,820,4044,5421,6743,9158,4044,1,1,2872,0,1692.678560236881
2020-07-27,736,7,699,3295,4780,6716,9021,3295,1,1,3841,0,1730.1658531815808
2020-07-28,359,7,810,3064,5139,6516,9380,3064,1,1,4484,0,1768.3285979941934
2020-07-29,0,0,729,2532,3654,6516,8445,2532,0,0,4188,1,1792.654310178023
2020-07-30,1513,0,550,3390,4577,6652,9351,3390,1,1,3156,0,1823.586979354057
2020-07-31,798,9,948,3406,4843,7450,9386,3406,1,1,3702,0,1849.5576110552408
2020-08-01,0,0,469,2670,4188,5965,8827,2670,0,0,4141,1,1871.4602278257955
2020-08-02,1263,8,781,3574,4669,6638,10090,3574,1,1,3769,0,1878.628503887425
2020-08-03,567,0,821,4141,4500,6673,9280,4141,1,1,2952,0,1905.996870338808
2020-08-04,0,0,254,2628,4141,6018,9280,2628,0,0,3400,1,1937.5542583944464
2020-08-05,891,7,1064,2721,5032,6127,8686,2721,1,1,2701,0,1944.568562916706
2020-08-06,0,0,628,2721,3519,5391,8096,2721,0,0,2497,1,1965.718990067892
2020-08-07,679,9,397,2137,3400,5711,8243,2137,1,1,1251,0,1994.7747367610111
2020-08-08,192,0,328,1762,3592,5903,7780,1762,1,1,2013,0,1995.444995908489
2020-08-09,168,8,265,1930,2497,4558,7166,1930,1,1,1146,0,1994.3662511223963
2020-08-10,0,0,175,1039,1930,3760,6430,1039,0,0,1677,1,1994.7180921094807
2020-08-11,275,0,223,1314,2205,4035,6346,1314,1,1,723,0,1978.874957309184
2020-08-12,0,0,275,635,1314,2772,6346,635,0,0,1249,1,1960.1476913721012
2020-08-13,363,8,154,806,1677,2568,5196,806,1,1,1058,0,1938.8130683952236
2020-08-14,0,0,215,638,998,2568,4398,638,0,0,1421,1,1906.1433484015324
2020-08-15,443,8,205,1081,1249,2120,4841,1081,1,1,970,0,1877.124916681391
2020-08-16,340,9,229,1146,1421,2460,3918,1146,1,1,1138,0,1842.4359145112328
2020-08-17,0,0,167,1146,1421,1781,3351,1146,0,0,1295,1,1811.837120217692
2020-08-18,267,13,313,1050,1413,1856,3618,1050,1,1,1145,0,1779.5858970066197
2020-08-19,65,0,132,1115,1478,1753,2792,1115,1,1,904,0,1754.0940963823894
2020-08-20,180,0,124,852,1295,1933,2972,852,1,1,449,0,1730.8417343369952
2020-08-21,117,2,163,629,1412,1775,2410,629,1,1,731,0,1706.056982481275
2020-08-22,0,0,148,629,969,1775,2218,629,0,0,581,2,1678.6766221705254
2020-08-23,0,0,205,362,629,1412,2050,362,0,0,516,2,1653.047580318774
2020-08-24,219,7,198,516,848,1631,2269,516,1,1,572,0,1621.97520159527
2020-08-25,0,0,146,336,581,1188,1994,336,0,0,674,2,1589.722154880583
2020-08-26,0,0,0,219,516,848,1994,219,0,0,674,2,1556.883582454743
2020-08-27,455,6,385,674,791,1303,2086,674,1,1,219,0,1519.9960857945975
2020-08-28,0,0,186,674,674,1036,2086,674,0,0,455,4,1490.256131174507
2020-08-29,0,0,158,455,674,971,1643,455,0,0,872,4,1458.659396858288
2020-08-30,0,0,232,455,674,791,1303,455,0,0,936,4,1424.3785283311
2020-08-31,0,0,125,455,455,674,1303,455,0,0,573,4,1397.8946291544285
2020-09-01,417,4,99,417,872,1091,1453,417,1,1,299,0,1372.1616309726217
2020-09-02,64,3,116,481,936,1155,1452,481,1,1,828,0,1343.5565767380035
2020-09-03,92,0,108,573,573,1028,1364,573,1,1,925,0,1316.2958981813388
2020-09-04,143,0,97,716,716,1171,1390,716,1,1,949,0,1290.5748114000014
2020-09-05,176,0,144,892,892,1347,1566,892,1,1,545,0,1266.2046641738984
2020-09-06,125,0,146,600,1017,1017,1691,600,1,1,532,0,1244.952153160714
2020-09-07,75,2,79,611,1092,1092,1547,611,1,1,490,0,1223.248883667571
2020-09-08,46,1,75,565,721,1138,1593,565,1,1,543,0,1204.3976361007374
2020-09-09,0,0,129,422,657,1138,1593,422,0,0,467,2,1188.3375467593078
2020-09-10,0,0,170,246,565,1138,1138,246,0,0,401,2,1167.1611442844526
2020-09-11,167,8,38,288,589,888,1305,288,1,1,159,0,1145.2834920822925
2020-09-12,54,0,118,267,467,878,1359,267,1,1,226,0,1123.6861394324874
2020-09-13,59,0,99,280,401,845,1418,280,1,1,369,0,1100.3811389700622
2020-09-14,0,0,77,280,326,702,1418,280,0,0,552,2,1075.205241160315
2020-09-15,0,0,56,280,280,526,1001,280,0,0,436,2,1051.373158434436
2020-09-16,148,3,52,261,428,549,1085,261,1,1,287,0,1027.901789451053
2020-09-17,124,0,72,331,552,598,1117,331,1,1,286,0,1005.1325735192112
2020-09-18,51,0,105,323,436,603,1025,323,1,1,359,0,983.5922690805294
2020-09-19,53,0,32,376,435,656,902,376,1,1,357,0,962.5960326681652
2020-09-20,34,2,9,410,410,690,811,410,1,1,458,0,942.3517715930412
2020-09-21,0,0,118,262,410,523,736,262,0,0,368,2,924.0148316798628
2020-09-22,0,0,160,138,410,469,690,138,0,0,408,2,904.844467768896
2020-09-23,230,0,41,317,492,640,920,317,1,1,125,0,885.9793100252049
2020-09-24,0,0,28,264,368,640,920,264,0,0,490,1,869.6507049037384
2020-09-25,91,2,5,321,408,731,844,321,1,1,399,0,851.1233999071895
2020-09-26,0,0,106,321,355,583,790,321,0,0,602,1,831.736401688969
2020-09-27,169,0,185,490,490,628,900,490,1,1,203,0,815.5840852284227
2020-09-28,0,0,3,260,490,577,900,260,0,0,430,1,800.5030705604116
2020-09-29,112,0,19,372,602,636,1012,372,1,1,227,0,784.7879829437976
2020-09-30,0,0,42,281,372,602,864,281,0,0,460,1,770.451800320754
2020-10-01,58,2,54,339,430,660,798,339,1,1,275,0,758.2987597750557
2020-10-02,0,0,0,170,339,660,747,170,0,0,350,1,743.5236290986275
2020-10-03,121,3,163,291,460,551,815,291,1,1,140,0,729.4390860434494
2020-10-04,42,0,36,221,333,593,823,221,1,1,237,0,715.3972169670964
2020-10-05,17,0,51,238,350,519,840,238,1,1,273,0,702.0401452627437
2020-10-06,23,0,68,203,261,542,863,203,1,1,334,0,686.6684547928927
2020-10-07,18,0,20,221,279,391,651,221,1,1,247,0,673.2559329383917
2020-10-08,69,2,41,169,290,460,720,169,1,1,179,0,659.323697836117
2020-10-09,67,0,28,194,357,415,696,194,1,1,186,0,645.6081516413506
2020-10-10,29,2,17,206,265,444,725,206,1,1,227,0,631.9648172156062
2020-10-11,25,0,21,208,248,411,581,208,1,1,246,0,619.0783137970795
2020-10-12,22,0,37,212,253,433,603,212,1,1,258,0,605.7938495371154
2020-10-13,26,0,14,169,256,338,517,169,1,1,249,0,593.29437453122
2020-10-14,33,0,37,135,271,329,550,135,1,1,302,0,580.9709652234405
2020-10-15,78,0,40,184,280,390,570,184,1,1,232,0,568.7436296030843
2020-10-16,62,0,46,221,275,429,632,221,1,1,226,0,557.3313103486701
2020-10-17,89,2,88,288,335,500,600,288,1,1,173,0,545.9058992088057
2020-10-18,0,0,0,262,310,431,558,262,0,0,458,3,534.8527673792032
2020-10-19,0,2,0,229,288,364,541,229,0,0,380,3,524.6313595823871
2020-10-20,0,0,0,151,262,335,518,151,0,0,318,3,514.9797605192603
2020-10-21,229,2,0,318,458,539,729,318,1,1,0,0,505.9568143382181
2020-10-22,0,0,0,229,380,517,660,229,0,0,447,3,498.1913634395144
2020-10-23,0,0,0,229,318,491,593,229,0,0,530,3,489.40942058355927
2020-10-24,0,0,0,229,229,458,564,229,0,0,594,3,479.706473148686
2020-10-25,218,2,324,447,447,598,757,447,1,1,216,0,472.783634482101
2020-10-26,83,2,60,301,530,619,818,301,1,1,427,0,466.5387465114847
2020-10-27,64,0,33,365,594,594,856,365,1,1,446,0,459.25425389058665
2020-10-28,69,0,46,434,434,663,892,434,1,1,752,0,452.7096326478781
2020-10-29,76,0,45,510,510,739,890,510,1,1,659,0,450.1955717929878
2020-10-30,0,0,0,292,510,739,828,292,0,0,797,1,446.1961257237764
2020-10-31,311,0,112,520,821,821,1050,520,1,1,538,0,441.45340973556927
2020-11-01,132,0,74,588,735,953,1182,588,1,1,748,0,439.78016451128354
2020-11-02,145,0,75,664,797,1098,1327,664,1,1,857,0,439.8610276651431
2020-11-03,116,0,90,704,849,1214,1443,704,1,1,986,0,437.3029314301702
2020-11-04,100,0,55,804,880,1096,1314,804,1,1,961,0,438.5706985209984
2020-11-05,198,0,60,691,1002,1211,1512,691,1,1,967,0,441.6558538011533
2020-11-06,100,0,117,659,1102,1247,1612,659,1,1,1069,0,444.8518686573325
2020-11-07,270,0,102,784,1061,1448,1882,784,1,1,844,0,448.2905998754127
2020-11-08,236,0,74,904,1165,1608,1900,904,1,1,883,0,454.17349902421046
2020-11-09,149,0,77,953,1169,1757,1966,953,1,1,772,0,459.19459966671377
2020-11-10,61,0,83,816,1114,1507,1963,816,1,1,760,0,464.0016698069755
2020-11-11,105,2,149,821,1119,1480,1999,821,1,1,446,0,469.4057778760824
2020-11-12,0,1,0,551,921,1335,1923,551,0,0,315,5,476.498329323307
2020-11-13,0,0,0,315,821,1219,1923,315,0,0,166,5,481.874784855526
2020-11-14,0,0,0,166,551,1119,1612,166,0,0,699,5,483.0771344680416
2020-11-15,0,0,0,105,315,921,1480,105,0,0,751,5,483.0787270590607
2020-11-16,0,0,0,0,166,821,1335,0,0,0,818,5,478.52194116183273
2020-11-17,594,0,953,594,699,1145,1813,594,1,1,377,0,469.6793543315847
2020-11-18,157,0,124,751,751,1066,1870,751,1,1,904,0,463.8024823678944
2020-11-19,67,0,194,818,818,984,1739,818,1,1,1035,0,458.4855713543695
2020-11-20,153,0,232,971,971,1076,1792,971,1,1,998,0,452.3027446547276
2020-11-21,90,0,198,1061,1061,1061,1612,1061,1,1,572,0,456.480220341221
2020-11-22,41,0,98,508,1102,1102,1417,508,1,1,561,0,463.6442515861281
2020-11-23,49,0,78,400,1151,1151,1317,400,1,1,579,0,467.0018269078914
2020-11-24,105,0,93,438,662,1256,1361,438,1,1,468,0,471.6592045160316
2020-11-25,97,0,60,382,602,1353,1353,382,1,1,509,0,477.8511976356787
2020-11-26,93,0,92,385,628,1446,1446,385,1,1,575,0,475.1059618059786
2020-11-27,98,0,97,442,573,950,1544,442,1,1,724,0,470.8435619588847
2020-11-28,123,0,133,516,606,916,1667,516,1,1,696,0,467.7470144177274
2020-11-29,103,2,97,514,668,952,1770,514,1,1,695,0,464.5149303066133
2020-11-30,203,0,147,620,822,1002,1973,620,1,1,599,0,461.4028191759378
2020-12-01,102,0,95,629,819,1014,1481,629,1,1,751,0,460.1172794181896
2020-12-02,76,0,44,607,798,1049,1400,607,1,1,768,0,460.0531887148873
2020-12-03,97,0,91,581,802,1097,1430,581,1,1,748,0,459.77758184922607
2020-12-04,149,1,165,627,853,1141,1426,627,1,1,599,0,460.8831226295957
2020-12-05,114,0,105,538,844,1158,1450,538,1,1,621,0,462.47565122025816
2020-12-06,104,0,94,540,845,1169,1513,540,1,1,636,0,462.9513600006364
2020-12-07,106,1,102,570,748,1177,1570,570,1,1,683,0,463.0402476227175
2020-12-08,89,0,56,562,735,1143,1554,562,1,1,661,0,464.0666150039759
2020-12-09,81,0,85,494,740,1121,1538,494,1,1,671,0,463.6622150078851
2020-12-10,146,0,118,526,789,1064,1591,526,1,1,607,0,462.7326143440488
2020-12-11,110,0,86,532,750,1072,1603,532,1,1,599,0,462.5460374198557
2020-12-12,116,0,83,542,752,1112,1596,542,1,1,604,0,462.29475053233966
2020-12-13,105,2,113,558,753,1120,1598,558,1,1,612,0,461.1139217437578
2020-12-14,62,2,105,539,709,1033,1457,539,1,1,634,0,460.57990646097926
2020-12-15,100,0,65,493,720,1019,1455,493,1,1,584,0,459.9926988407017
2020-12-16,78,0,114,461,717,993,1457,461,1,1,579,0,459.1888070512988
2020-12-17,125,0,92,470,696,1012,1485,470,1,1,495,0,458.38104143024185
2020-12-18,98,2,138,463,684,1021,1434,463,1,1,570,0,457.38617847938553
2020-12-19,89,0,102,490,657,1029,1409,490,1,1,544,0,455.6711896571926
2020-12-20,68,0,75,458,620,951,1373,458,1,1,602,0,453.7498261074407
2020-12-21,110,0,56,490,668,951,1377,490,1,1,537,0,451.7512725295028
2020-12-22,65,0,174,430,633,900,1353,430,1,1,484,0,449.9710508343296
2020-12-23,115,0,98,447,670,910,1387,447,1,1,523,0,448.1463039666381
2020-12-24,102,0,121,460,647,950,1343,460,1,1,558,0,446.0349610203575
2020-12-25,0,0,0,392,549,850,1233,392,0,0,632,1,444.5718145532517
2020-12-26,178,2,161,460,638,950,1295,460,1,1,466,0,441.6834861770844
2020-12-27,90,0,132,485,660,915,1280,485,1,1,573,0,439.6987175693771
2020-12-28,82,0,85,452,632,899,1300,452,1,1,583,0,438.1735566642779
2020-12-29,77,0,79,427,644,887,1277,427,1,1,588,0,435.39663881917255
2020-12-30,134,0,70,561,663,953,1333,561,1,1,353,0,433.5101219071135
2020-12-31,104,0,100,487,665,947,1312,487,1,1,586,0,433.168760289534
2021-01-01,0,0,0,397,665,882,1214,397,0,0,767,2,431.7254106699186
2021-01-02,0,0,0,315,487,767,1125,315,0,0,842,2,429.1979845056479
2021-01-03,293,1,236,531,690,958,1350,531,1,1,680,0,428.068885408521
2021-01-04,159,0,138,556,767,1117,1399,556,1,1,903,0,427.66179978605953
2021-01-05,152,0,136,604,842,1091,1486,604,1,1,1101,0,426.1245896417214
2021-01-06,265,0,105,869,973,1266,1636,869,1,1,1175,0,423.80096419082287
2021-01-07,193,0,88,1062,1062,1377,1727,1062,1,1,1152,0,426.9915540890112
2021-01-08,191,2,122,960,1253,1491,1918,960,1,1,1170,0,432.0750141635493
2021-01-09,187,2,162,988,1440,1544,1927,988,1,1,1022,0,436.8843423184686
2021-01-10,198,0,131,1034,1345,1638,2035,1034,1,1,1182,0,445.7656443804876
2021-01-11,175,1,190,944,1361,1813,2128,944,1,1,1309,0,457.673467211928
2021-01-12,0,3,0,751,1209,1813,2051,751,0,0,1644,1,466.9636661930752
2021-01-13,436,2,173,996,1380,1956,2353,996,1,1,1387,0,474.8021257762874
2021-01-14,297,6,183,1106,1484,2094,2546,1106,1,1,1719,0,485.1500072932448
2021-01-15,351,6,197,1259,1644,2293,2897,1259,1,1,2148,0,494.77116081945854
2021-01-16,366,0,110,1450,1823,2394,3263,1450,1,1,2133,0,502.49952468934623
2021-01-17,391,3,387,1841,2016,2592,3361,1841,1,1,2307,0,515.2754320492164
2021-01-18,658,0,420,2063,2499,3059,3860,2063,1,1,3117,0,532.5974359931093
2021-01-19,0,0,0,1766,2499,2872,3708,1766,0,0,4070,1,553.5733071960207
2021-01-20,635,6,249,2050,2698,3309,4078,2050,1,1,3685,0,574.3444471454504
2021-01-21,1374,0,642,3058,3775,4508,5259,3058,1,1,2555,0,602.7583272764981
2021-01-22,646,5,553,3313,4070,5154,5714,3313,1,1,3757,0,642.0965854439505
2021-01-23,616,5,411,3271,4320,5334,6143,3271,1,1,4534,0,677.9894815192451
2021-01-24,0,0,0,3271,3929,5037,5945,3271,0,0,5312,1,716.7747022442554
2021-01-25,1132,13,992,3768,4403,5818,6902,3768,1,1,3595,0,769.5802412103911
2021-01-26,747,8,350,3141,5150,6199,7649,3141,1,1,4128,0,828.8552454122589
2021-01-27,797,7,457,3292,5312,6605,8010,3292,1,1,4234,0,880.5946187021573
2021-01-28,789,6,499,3465,4727,6736,8502,3465,1,1,5019,0,932.1253530107048
2021-01-29,794,5,380,4259,4875,7530,8945,4259,1,1,4578,0,991.091697235919
2021-01-30,772,8,607,3899,5031,7667,9351,3899,1,1,4644,0,1045.59782868713
2021-01-31,777,9,497,3929,5808,7070,9737,3929,1,1,4564,0,1097.8235416159432
2021-02-01,696,7,389,3828,5372,7120,9775,3828,1,1,4621,0,1151.4134929871716
2021-02-02,791,9,773,3830,5416,7295,10566,3830,1,1,4527,0,1214.5523357269772
