date,daily_incidence,daily_deaths,daily_recoveries,I_proxy_D5,I_proxy_D7,I_proxy_D10,I_proxy_D14,I_proxy,observed_simple,observed_context,context_activity,gap_length
2020-05-02,550,0,0,1049,1169,1440,2078,1049,1,1,95,0
2020-05-03,0,0,0,645,1169,1440,2078,645,0,0,1016,3
2020-05-04,0,0,0,645,1049,1440,2078,645,0,0,1016,3
2020-05-05,0,0,0,645,645,1169,2078,645,0,0,1843,3
2020-05-06,371,0,0,921,1016,1540,1811,921,1,1,1173,0
2020-05-07,0,0,0,371,1016,1420,1811,371,0,0,1981,1
2020-05-08,922,0,0,1293,1843,1938,2733,1293,1,1,1486,0
2020-05-09,251,4,0,1544,1544,2189,2713,1544,1,1,2157,0
2020-05-10,437,0,0,1981,1981,2626,3150,1981,1,1,1600,0
2020-05-11,427,0,0,2037,2408,2958,3457,2037,1,1,2013,0
2020-05-12,0,0,0,2037,2408,2408,3053,2037,0,0,1626,2
2020-05-13,0,0,0,1115,2037,2408,3053,1115,0,0,1472,2
2020-05-14,403,2,0,1267,2440,2811,3456,1267,1,1,632,0
2020-05-15,108,4,0,938,1626,2919,3469,938,1,1,683,0
2020-05-16,97,1,0,608,1472,2645,3016,608,1,1,872,0
2020-05-17,0,0,0,608,1035,2645,3016,608,0,0,1142,1
2020-05-18,183,2,0,791,791,1906,3199,791,1,1,773,0
2020-05-19,178,0,0,566,969,1833,3377,566,1,1,801,0
2020-05-20,173,0,0,631,1142,1569,3179,631,1,1,775,0
2020-05-21,217,0,0,751,956,1359,3396,751,1,1,731,0
2020-05-22,131,0,0,882,979,1490,2605,882,1,1,915,0
2020-05-23,66,1,0,765,948,1556,2420,765,1,1,955,0
2020-05-24,0,0,0,587,948,1153,1983,587,0,0,1034,1
2020-05-25,281,0,0,695,1046,1326,1837,695,1,1,849,0
2020-05-26,153,2,0,631,1021,1382,1990,631,1,1,998,0
2020-05-27,186,0,0,686,1034,1568,2176,686,1,1,1007,0
2020-05-28,313,0,0,933,1130,1698,2086,933,1,1,1074,0
2020-05-29,152,1,0,1085,1151,1672,2130,1085,1,1,1181,0
2020-05-30,108,1,0,912,1193,1607,2141,912,1,1,1323,0
2020-05-31,194,0,0,953,1387,1584,2335,953,1,1,1388,0
2020-06-01,227,2,0,994,1333,1680,2379,994,1,1,1325,0
2020-06-02,251,0,0,932,1431,1865,2452,932,1,1,1443,0
2020-06-03,337,0,0,1117,1582,2202,2616,1117,1,1,1425,0
2020-06-04,283,4,0,1292,1552,2204,2682,1292,1,1,1557,0
2020-06-05,294,2,0,1392,1694,2345,2845,1392,1,1,1319,0
2020-06-06,176,0,0,1341,1762,2335,2955,1341,1,1,1477,0
2020-06-07,272,4,0,1362,1840,2294,3227,1362,1,1,1201,0
2020-06-08,0,0,0,1025,1613,2142,2946,1025,0,0,1688,1
2020-06-09,291,0,0,1033,1653,2325,3084,1033,1,1,1365,0
2020-06-10,157,0,0,896,1473,2288,3055,896,1,1,1627,0
2020-06-11,498,0,0,1218,1688,2559,3240,1218,1,1,1556,0
2020-06-12,262,0,0,1208,1656,2570,3350,1208,1,1,1792,0
2020-06-13,304,3,0,1512,1784,2537,3546,1512,1,1,1688,0
2020-06-14,542,3,0,1763,2054,2796,3894,1763,1,1,1690,0
2020-06-15,0,0,0,1606,2054,2502,3667,1606,0,0,2073,1
2020-06-16,229,4,0,1337,1992,2555,3645,1337,1,1,1856,0
2020-06-17,397,8,0,1472,2232,2680,3705,1472,1,1,1898,0
2020-06-18,339,0,10074,1507,2073,3019,3761,1507,1,1,1851,0
2020-06-19,274,4,399,1239,2085,3002,3741,1239,1,1,2330,0
2020-06-20,514,15,0,1753,2295,3359,4079,1753,1,1,2306,0
2020-06-21,437,0,434,1961,2190,3298,4244,1961,1,1,2446,0
2020-06-22,414,10,171,1978,2604,3450,4658,1978,1,1,2489,0
2020-06-23,445,0,353,2084,2820,3591,4812,2084,1,1,2783,0
2020-06-24,460,0,323,2270,2883,3509,5115,2270,1,1,2565,0
2020-06-25,359,8,503,2115,2903,3868,4976,2115,1,1,2838,0
2020-06-26,599,0,466,2277,3228,4238,5313,2277,1,1,2574,0
2020-06-27,311,9,274,2174,3025,4152,5320,2174,1,1,2810,0
2020-06-28,609,0,0,2338,3197,4422,5387,2338,1,1,2052,0
2020-06-29,390,0,556,2268,3173,4538,5777,2268,1,1,3863,0
2020-06-30,393,5,0,2302,3121,4417,5941,2302,1,1,4253,0
2020-07-01,0,0,780,1703,2661,3980,5544,1703,0,0,5226,1
2020-07-02,1951,5,540,3343,4253,5517,7156,3343,1,1,3520,0
2020-07-03,992,7,1200,3726,4646,6064,7874,3726,1,1,4730,0
2020-07-04,891,0,1086,4227,5226,6495,8251,4227,1,1,4438,0
2020-07-05,854,0,408,4688,5471,6990,8668,4688,1,1,5260,0
2020-07-06,641,0,1058,5329,5722,7032,8895,5329,1,1,3792,0
2020-07-07,0,0,590,3378,5329,6721,8450,3378,0,0,3441,1
2020-07-08,785,6,619,3171,6114,6897,8775,3171,1,1,2499,0
2020-07-09,270,4,356,2550,4433,6777,8686,2550,1,1,2160,0
2020-07-10,0,0,880,1696,3441,6384,8087,1696,0,0,2662,1
2020-07-11,734,0,330,1789,3284,7118,8510,1789,1,1,1928,0
2020-07-12,0,0,114,1789,2430,5167,7901,1789,0,0,2812,1
2020-07-13,873,0,759,1877,2662,5048,8384,1877,1,1,2276,0
2020-07-14,0,0,645,1607,2662,4157,7991,1607,0,0,3912,1
2020-07-15,935,6,129,2542,2812,4238,8926,2542,1,1,2802,0
2020-07-16,607,3,205,2415,3149,4204,7582,2415,1,1,3130,0
2020-07-17,763,5,1652,3178,3912,4967,7353,3178,1,1,3478,0
2020-07-18,559,0,430,2864,3737,4741,7021,2864,1,1,3682,0
2020-07-19,0,0,759,2864,3737,4471,6167,2864,0,0,4791,1
2020-07-20,1377,0,1711,3306,4241,5848,6903,3306,1,1,3397,0
2020-07-21,0,0,0,2699,4241,5114,6903,2699,0,0,4543,1
2020-07-22,1485,0,637,3421,4791,6599,7603,3421,1,1,3154,0
2020-07-23,590,8,0,3452,4774,6316,7923,3452,1,1,4831,0
2020-07-24,532,7,489,3984,4543,6848,8455,3984,1,1,4248,0
2020-07-25,655,0,874,3262,4639,6568,8376,3262,1,1,4484,0
2020-07-26,782,0,820,4044,5421,6743,9158,4044,1,1,2872,0
2020-07-27,736,7,699,3295,4780,6716,9021,3295,1,1,3841,0
2020-07-28,359,7,810,3064,5139,6516,9380,3064,1,1,4484,0
2020-07-29,0,0,729,2532,3654,6516,8445,2532,0,0,4188,1
2020-07-30,1513,0,550,3390,4577,6652,9351,3390,1,1,3156,0
2020-07-31,798,9,948,3406,4843,7450,9386,3406,1,1,3702,0
2020-08-01,0,0,469,2670,4188,5965,8827,2670,0,0,4141,1
2020-08-02,1263,8,781,3574,4669,6638,10090,3574,1,1,3769,0
2020-08-03,567,0,821,4141,4500,6673,9280,4141,1,1,2952,0
2020-08-04,0,0,254,2628,4141,6018,9280,2628,0,0,3400,1
2020-08-05,891,7,1064,2721,5032,6127,8686,2721,1,1,2701,0
2020-08-06,0,0,628,2721,3519,5391,8096,2721,0,0,2497,1
2020-08-07,679,9,397,2137,3400,5711,8243,2137,1,1,1251,0
2020-08-08,192,0,328,1762,3592,5903,7780,1762,1,1,2013,0
2020-08-09,168,8,265,1930,2497,4558,7166,1930,1,1,1146,0
2020-08-10,0,0,175,1039,1930,3760,6430,1039,0,0,1677,1
2020-08-11,275,0,223,1314,2205,4035,6346,1314,1,1,723,0
2020-08-12,0,0,275,635,1314,2772,6346,635,0,0,1249,1
2020-08-13,363,8,154,806,1677,2568,5196,806,1,1,1058,0
2020-08-14,0,0,215,638,998,2568,4398,638,0,0,1421,1
2020-08-15,443,8,205,1081,1249,2120,4841,1081,1,1,970,0
2020-08-16,340,9,229,1146,1421,2460,3918,1146,1,1,1138,0
2020-08-17,0,0,167,1146,1421,1781,3351,1146,0,0,1295,1
2020-08-18,267,13,313,1050,1413,1856,3618,1050,1,1,1145,0
2020-08-19,65,0,132,1115,1478,1753,2792,1115,1,1,904,0
2020-08-20,180,0,124,852,1295,1933,2972,852,1,1,449,0
2020-08-21,117,2,163,629,1412,1775,2410,629,1,1,731,0
2020-08-22,0,0,148,629,969,1775,2218,629,0,0,581,2
2020-08-23,0,0,205,362,629,1412,2050,362,0,0,516,2
2020-08-24,219,7,198,516,848,1631,2269,516,1,1,572,0
2020-08-25,0,0,146,336,581,1188,1994,336,0,0,674,2
2020-08-26,0,0,0,219,516,848,1994,219,0,0,674,2
2020-08-27,455,6,385,674,791,1303,2086,674,1,1,219,0
2020-08-28,0,0,186,674,674,1036,2086,674,0,0,455,4
2020-08-29,0,0,158,455,674,971,1643,455,0,0,872,4
2020-08-30,0,0,232,455,674,791,1303,455,0,0,936,4
2020-08-31,0,0,125,455,455,674,1303,455,0,0,573,4
2020-09-01,417,4,99,417,872,1091,1453,417,1,1,299,0
2020-09-02,64,3,116,481,936,1155,1452,481,1,1,828,0
2020-09-03,92,0,108,573,573,1028,1364,573,1,1,925,0
2020-09-04,143,0,97,716,716,1171,1390,716,1,1,949,0
2020-09-05,176,0,144,892,892,1347,1566,892,1,1,545,0
2020-09-06,125,0,146,600,1017,1017,1691,600,1,1,532,0
2020-09-07,75,2,79,611,1092,1092,1547,611,1,1,490,0
2020-09-08,46,1,75,565,721,1138,1593,565,1,1,543,0
2020-09-09,0,0,129,422,657,1138,1593,422,0,0,467,2
2020-09-10,0,0,170,246,565,1138,1138,246,0,0,401,2
2020-09-11,167,8,38,288,589,888,1305,288,1,1,159,0
2020-09-12,54,0,118,267,467,878,1359,267,1,1,226,0
2020-09-13,59,0,99,280,401,845,1418,280,1,1,369,0
2020-09-14,0,0,77,280,326,702,1418,280,0,0,552,2
2020-09-15,0,0,56,280,280,526,1001,280,0,0,436,2
2020-09-16,148,3,52,261,428,549,1085,261,1,1,287,0
2020-09-17,124,0,72,331,552,598,1117,331,1,1,286,0
2020-09-18,51,0,105,323,436,603,1025,323,1,1,359,0
2020-09-19,53,0,32,376,435,656,902,376,1,1,357,0
2020-09-20,34,2,9,410,410,690,811,410,1,1,458,0
2020-09-21,0,0,118,262,410,523,736,262,0,0,368,2
2020-09-22,0,0,160,138,410,469,690,138,0,0,408,2
2020-09-23,230,0,41,317,492,640,920,317,1,1,125,0
2020-09-24,0,0,28,264,368,640,920,264,0,0,490,1
2020-09-25,91,2,5,321,408,731,844,321,1,1,399,0
2020-09-26,0,0,106,321,355,583,790,321,0,0,602,1
2020-09-27,169,0,185,490,490,628,900,490,1,1,203,0
2020-09-28,0,0,3,260,490,577,900,260,0,0,430,1
2020-09-29,112,0,19,372,602,636,1012,372,1,1,227,0
2020-09-30,0,0,42,281,372,602,864,281,0,0,460,1
2020-10-01,58,2,54,339,430,660,798,339,1,1,275,0
2020-10-02,0,0,0,170,339,660,747,170,0,0,350,1
2020-10-03,121,3,163,291,460,551,815,291,1,1,140,0
2020-10-04,42,0,36,221,333,593,823,221,1,1,237,0
2020-10-05,17,0,51,238,350,519,840,238,1,1,273,0
2020-10-06,23,0,68,203,261,542,863,203,1,1,334,0
2020-10-07,18,0,20,221,279,391,651,221,1,1,247,0
2020-10-08,69,2,41,169,290,460,720,169,1,1,179,0
2020-10-09,67,0,28,194,357,415,696,194,1,1,186,0
2020-10-10,29,2,17,206,265,444,725,206,1,1,227,0
2020-10-11,25,0,21,208,248,411,581,208,1,1,246,0
2020-10-12,22,0,37,212,253,433,603,212,1,1,258,0
2020-10-13,26,0,14,169,256,338,517,169,1,1,249,0
2020-10-14,33,0,37,135,271,329,550,135,1,1,302,0
2020-10-15,78,0,40,184,280,390,570,184,1,1,232,0
2020-10-16,62,0,46,221,275,429,632,221,1,1,226,0
2020-10-17,89,2,88,288,335,500,600,288,1,1,173,0
2020-10-18,0,0,0,262,310,431,558,262,0,0,458,3
2020-10-19,0,2,0,229,288,364,541,229,0,0,380,3
2020-10-20,0,0,0,151,262,335,518,151,0,0,318,3
2020-10-21,229,2,0,318,458,539,729,318,1,1,0,0
2020-10-22,0,0,0,229,380,517,660,229,0,0,447,3
2020-10-23,0,0,0,229,318,491,593,229,0,0,530,3
2020-10-24,0,0,0,229,229,458,564,229,0,0,594,3
2020-10-25,218,2,324,447,447,598,757,447,1,1,216,0
2020-10-26,83,2,60,301,530,619,818,301,1,1,427,0
2020-10-27,64,0,33,365,594,594,856,365,1,1,446,0
2020-10-28,69,0,46,434,434,663,892,434,1,1,752,0
2020-10-29,76,0,45,510,510,739,890,510,1,1,659,0
2020-10-30,0,0,0,292,510,739,828,292,0,0,797,1
2020-10-31,311,0,112,520,821,821,1050,520,1,1,538,0
2020-11-01,132,0,74,588,735,953,1182,588,1,1,748,0
2020-11-02,145,0,75,664,797,1098,1327,664,1,1,857,0
2020-11-03,116,0,90,704,849,1214,1443,704,1,1,986,0
2020-11-04,100,0,55,804,880,1096,1314,804,1,1,961,0
2020-11-05,198,0,60,691,1002,1211,1512,691,1,1,967,0
2020-11-06,100,0,117,659,1102,1247,1612,659,1,1,1069,0
2020-11-07,270,0,102,784,1061,1448,1882,784,1,1,844,0
2020-11-08,236,0,74,904,1165,1608,1900,904,1,1,883,0
2020-11-09,149,0,77,953,1169,1757,1966,953,1,1,772,0
2020-11-10,61,0,83,816,1114,1507,1963,816,1,1,760,0
2020-11-11,105,2,149,821,1119,1480,1999,821,1,1,446,0
2020-11-12,0,1,0,551,921,1335,1923,551,0,0,315,5
2020-11-13,0,0,0,315,821,1219,1923,315,0,0,166,5
2020-11-14,0,0,0,166,551,1119,1612,166,0,0,699,5
2020-11-15,0,0,0,105,315,921,1480,105,0,0,751,5
2020-11-16,0,0,0,0,166,821,1335,0,0,0,818,5
2020-11-17,594,0,953,594,699,1145,1813,594,1,1,377,0
2020-11-18,157,0,124,751,751,1066,1870,751,1,1,904,0
2020-11-19,67,0,194,818,818,984,1739,818,1,1,1035,0
2020-11-20,153,0,232,971,971,1076,1792,971,1,1,998,0
2020-11-21,90,0,198,1061,1061,1061,1612,1061,1,1,572,0
2020-11-22,41,0,98,508,1102,1102,1417,508,1,1,561,0
2020-11-23,49,0,78,400,1151,1151,1317,400,1,1,579,0
2020-11-24,105,0,93,438,662,1256,1361,438,1,1,468,0
2020-11-25,97,0,60,382,602,1353,1353,382,1,1,509,0
2020-11-26,93,0,92,385,628,1446,1446,385,1,1,575,0
2020-11-27,98,0,97,442,573,950,1544,442,1,1,724,0
2020-11-28,123,0,133,516,606,916,1667,516,1,1,696,0
2020-11-29,103,2,97,514,668,952,1770,514,1,1,695,0
2020-11-30,203,0,147,620,822,1002,1973,620,1,1,599,0
2020-12-01,102,0,95,629,819,1014,1481,629,1,1,751,0
2020-12-02,76,0,44,607,798,1049,1400,607,1,1,768,0
2020-12-03,97,0,91,581,802,1097,1430,581,1,1,748,0
2020-12-04,149,1,165,627,853,1141,1426,627,1,1,599,0
2020-12-05,114,0,105,538,844,1158,1450,538,1,1,621,0
2020-12-06,104,0,94,540,845,1169,1513,540,1,1,636,0
2020-12-07,106,1,102,570,748,1177,1570,570,1,1,683,0
2020-12-08,89,0,56,562,735,1143,1554,562,1,1,661,0
2020-12-09,81,0,85,494,740,1121,1538,494,1,1,671,0
2020-12-10,146,0,118,526,789,1064,1591,526,1,1,607,0
2020-12-11,110,0,86,532,750,1072,1603,532,1,1,599,0
2020-12-12,116,0,83,542,752,1112,1596,542,1,1,604,0
2020-12-13,105,2,113,558,753,1120,1598,558,1,1,612,0
2020-12-14,62,2,105,539,709,1033,1457,539,1,1,634,0
2020-12-15,100,0,65,493,720,1019,1455,493,1,1,584,0
2020-12-16,78,0,114,461,717,993,1457,461,1,1,579,0
2020-12-17,125,0,92,470,696,1012,1485,470,1,1,495,0
2020-12-18,98,2,138,463,684,1021,1434,463,1,1,570,0
2020-12-19,89,0,102,490,657,1029,1409,490,1,1,544,0
2020-12-20,68,0,75,458,620,951,1373,458,1,1,602,0
2020-12-21,110,0,56,490,668,951,1377,490,1,1,537,0
2020-12-22,65,0,174,430,633,900,1353,430,1,1,484,0
2020-12-23,115,0,98,447,670,910,1387,447,1,1,523,0
2020-12-24,102,0,121,460,647,950,1343,460,1,1,558,0
2020-12-25,0,0,0,392,549,850,1233,392,0,0,632,1
2020-12-26,178,2,161,460,638,950,1295,460,1,1,466,0
2020-12-27,90,0,132,485,660,915,1280,485,1,1,573,0
2020-12-28,82,0,85,452,632,899,1300,452,1,1,583,0
2020-12-29,77,0,79,427,644,887,1277,427,1,1,588,0
2020-12-30,134,0,70,561,663,953,1333,561,1,1,353,0
2020-12-31,104,0,100,487,665,947,1312,487,1,1,586,0
2021-01-01,0,0,0,397,665,882,1214,397,0,0,767,2
2021-01-02,0,0,0,315,487,767,1125,315,0,0,842,2
2021-01-03,293,1,236,531,690,958,1350,531,1,1,680,0
2021-01-04,159,0,138,556,767,1117,1399,556,1,1,903,0
2021-01-05,152,0,136,604,842,1091,1486,604,1,1,1101,0
2021-01-06,265,0,105,869,973,1266,1636,869,1,1,1175,0
2021-01-07,193,0,88,1062,1062,1377,1727,1062,1,1,1152,0
2021-01-08,191,2,122,960,1253,1491,1918,960,1,1,1170,0
2021-01-09,187,2,162,988,1440,1544,1927,988,1,1,1022,0
2021-01-10,198,0,131,1034,1345,1638,2035,1034,1,1,1182,0
2021-01-11,175,1,190,944,1361,1813,2128,944,1,1,1309,0
2021-01-12,0,3,0,751,1209,1813,2051,751,0,0,1644,1
2021-01-13,436,2,173,996,1380,1956,2353,996,1,1,1387,0
2021-01-14,297,6,183,1106,1484,2094,2546,1106,1,1,1719,0
2021-01-15,351,6,197,1259,1644,2293,2897,1259,1,1,2148,0
2021-01-16,366,0,110,1450,1823,2394,3263,1450,1,1,2133,0
2021-01-17,391,3,387,1841,2016,2592,3361,1841,1,1,2307,0
2021-01-18,658,0,420,2063,2499,3059,3860,2063,1,1,3117,0
2021-01-19,0,0,0,1766,2499,2872,3708,1766,0,0,4070,1
2021-01-20,635,6,249,2050,2698,3309,4078,2050,1,1,3685,0
2021-01-21,1374,0,642,3058,3775,4508,5259,3058,1,1,2555,0
2021-01-22,646,5,553,3313,4070,5154,5714,3313,1,1,3757,0
2021-01-23,616,5,411,3271,4320,5334,6143,3271,1,1,4534,0
2021-01-24,0,0,0,3271,3929,5037,5945,3271,0,0,5312,1
2021-01-25,1132,13,992,3768,4403,5818,6902,3768,1,1,3595,0
2021-01-26,747,8,350,3141,5150,6199,7649,3141,1,1,4128,0
2021-01-27,797,7,457,3292,5312,6605,8010,3292,1,1,4234,0
2021-01-28,789,6,499,3465,4727,6736,8502,3465,1,1,5019,0
2021-01-29,794,5,380,4259,4875,7530,8945,4259,1,1,4578,0
2021-01-30,772,8,607,3899,5031,7667,9351,3899,1,1,4644,0
2021-01-31,777,9,497,3929,5808,7070,9737,3929,1,1,4564,0
2021-02-01,696,7,389,3828,5372,7120,9775,3828,1,1,4621,0
2021-02-02,791,9,773,3830,5416,7295,10566,3830,1,1,4527,0
2021-02-03,722,8,457,3758,5341,8017,10653,3758,1,1,4499,0
2021-02-04,765,7,699,3751,5317,7650,10044,3751,1,1,4233,0
2021-02-05,795,8,491,3769,5318,7698,10193,3769,1,1,4297,0
2021-02-06,675,10,434,3748,5221,7576,10252,3748,1,1,3626,0
2021-02-07,554,12,532,3511,4998,7341,10806,3511,1,1,4514,0
2021-02-08,790,11,218,3579,5092,7337,10464,3579,1,1,4169,0
2021-02-09,0,0,0,2814,4301,6565,9717,2814,0,0,4164,1
2021-02-10,1489,28,754,3508,5068,7277,10409,3508,1,1,2000,0
2021-02-11,656,9,1013,3489,4959,7237,10276,3489,1,1,4058,0
2021-02-12,0,19,0,2935,4164,6446,9482,2935,0,0,4342,2
2021-02-13,0,0,0,2145,3489,5724,8710,2145,0,0,4818,2
2021-02-14,1779,4,1676,3924,4714,6738,9712,3924,1,1,2040,0
2021-02-15,418,3,573,2853,4342,6361,9434,2853,1,1,3343,0
2021-02-16,476,0,677,2673,4818,6162,9119,2673,1,1,3791,0
2021-02-17,490,4,1491,3163,3819,6098,8887,3163,1,1,3777,0
2021-02-18,598,5,502,3761,3761,5906,8720,3761,1,1,2804,0
2021-02-19,506,5,347,2488,4267,6412,8431,2488,1,1,2936,0
2021-02-20,0,2,0,2070,4267,4923,7756,2070,0,0,3421,1
2021-02-21,914,4,1316,2508,3402,5181,8116,2508,1,1,2643,0
2021-02-22,458,6,923,2476,3442,5639,7784,2476,1,1,2903,0
2021-02-23,455,0,969,2333,3421,6094,8239,2333,1,1,2809,0
2021-02-24,626,5,560,2453,3557,4941,7376,2453,1,1,2960,0
2021-02-25,402,3,565,2855,3361,4925,7122,2855,1,1,2681,0
2021-02-26,409,5,274,2350,3264,4858,7531,2350,1,1,2705,0
2021-02-27,322,4,471,2214,3586,4690,7853,2214,1,1,2840,0
2021-02-28,411,9,481,2170,3083,4503,6485,2170,1,1,2475,0
2021-03-01,489,9,541,2033,3114,4486,6556,2033,1,1,2368,0
2021-03-02,503,8,712,2134,3162,4989,6583,2134,1,1,2217,0
2021-03-03,350,3,442,2075,2886,4425,6443,2075,1,1,2284,0
2021-03-04,373,7,333,2126,2857,4340,6218,2126,1,1,1952,0
2021-03-05,272,9,347,1987,2720,4157,5984,1987,1,1,1739,0
2021-03-06,236,6,405,1734,2634,3767,6220,1734,1,1,1502,0
2021-03-07,102,5,437,1333,2325,3467,5408,1333,1,1,1568,0
2021-03-08,175,6,359,1158,2011,3233,5125,1158,1,1,1345,0
2021-03-09,230,6,307,1015,1738,3141,4900,1015,1,1,1261,0
2021-03-10,282,6,362,1025,1670,3012,4556,1025,1,1,1166,0
2021-03-11,223,6,452,1012,1520,2746,4377,1012,1,1,1123,0
2021-03-12,243,7,208,1153,1491,2486,4211,1153,1,1,1515,0
2021-03-13,193,7,266,1171,1448,2329,4082,1171,1,1,1603,0
2021-03-14,0,0,0,941,1346,1956,3671,941,0,0,1738,1
2021-03-15,587,8,857,1246,1758,2271,3769,1246,1,1,1110,0
2021-03-16,268,3,270,1291,1796,2303,3534,1291,1,1,1291,0
2021-03-17,224,4,233,1272,1738,2425,3408,1272,1,1,1248,0
2021-03-18,182,5,306,1261,1697,2432,3217,1261,1,1,1396,0
2021-03-19,105,6,204,1366,1559,2307,3050,1366,1,1,981,0
2021-03-20,106,3,283,885,1472,2131,2920,885,1,1,784,0
2021-03-21,106,3,373,723,1578,2014,2924,723,1,1,681,0
2021-03-22,95,3,128,594,1086,1866,2844,594,1,1,510,0
2021-03-23,72,0,276,484,890,1745,2686,484,1,1,428,0
2021-03-24,121,0,112,500,787,1866,2525,500,1,1,538,0
2021-03-25,0,0,0,394,605,1279,2302,394,0,0,584,2
2021-03-26,0,0,0,288,500,1011,2059,288,0,0,555,2
2021-03-27,265,2,829,458,659,1052,2131,458,1,1,243,0
2021-03-28,31,1,99,417,584,901,2162,417,1,1,464,0
2021-03-29,66,1,94,362,555,862,1641,362,1,1,547,0
2021-03-30,25,0,267,387,508,781,1398,387,1,1,634,0
2021-03-31,108,4,159,495,495,783,1282,495,1,1,349,0
2021-04-01,118,4,89,348,613,806,1218,348,1,1,343,0
2021-04-02,46,0,69,363,659,780,1159,363,1,1,414,0
2021-04-03,63,0,67,360,457,722,1116,360,1,1,439,0
2021-04-04,35,0,83,370,461,757,1045,370,1,1,443,0
2021-04-05,65,0,78,327,460,822,1015,327,1,1,295,0
2021-04-06,67,0,73,276,502,624,1010,276,1,1,397,0
2021-04-07,84,2,48,314,478,677,973,314,1,1,384,0
2021-04-08,0,0,0,251,360,611,973,251,0,0,433,1
2021-04-09,150,7,127,366,464,736,1123,366,1,1,286,0
2021-04-10,67,2,82,368,468,695,925,368,1,1,302,0
2021-04-11,0,0,0,301,433,577,894,301,0,0,403,1
2021-04-12,68,3,99,285,436,599,896,285,1,1,381,0
2021-04-13,0,0,0,285,369,536,871,285,0,0,373,1
2021-04-14,118,5,130,253,403,619,881,253,1,1,188,0
2021-04-15,46,0,74,232,449,600,809,232,1,1,405,0
2021-04-16,74,1,57,306,373,607,837,306,1,1,309,0
2021-04-17,0,0,0,238,306,523,774,238,0,0,492,1
2021-04-18,145,5,68,383,451,668,884,383,1,1,358,0
2021-04-19,0,0,0,265,383,518,819,265,0,0,544,1
2021-04-20,109,0,112,328,492,560,861,328,1,1,361,0
