country,origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
italy_secondary,90,weekly,pinn_split,3,2.491656826169653,11891.922135416668,13732.884079517464,13,0.0
italy_secondary,90,sparse20,pinn_split,1,2.368676964151188,11304.9765625,12601.0559418275,70,0.0
italy_secondary,90,sparse20,pinn_split,2,1.6574460087714136,7910.486979166667,9298.353075798022,70,0.0
italy_secondary,90,sparse20,pinn_split,3,1.344117017861627,6415.062760416667,7724.720619509689,70,0.0
italy_secondary,90,sparse30,pinn_split,1,3.23421293803117,15435.9171875,16686.40861447242,61,0.0
italy_secondary,90,sparse30,pinn_split,2,3.3522162502403265,15999.111197916667,17160.13133794824,61,0.0
italy_secondary,90,sparse30,pinn_split,3,2.176102558075547,10385.87734375,11631.599009430802,61,0.0
italy_secondary,90,sparse40,pinn_split,1,2.1999364263797667,10499.629166666668,11926.455501507106,61,0.0
italy_secondary,90,sparse40,pinn_split,2,2.658274830471981,12687.139322916666,13971.675014992064,61,0.0
italy_secondary,90,sparse40,pinn_split,3,2.250154095034764,10739.302864583333,12060.980749647371,61,0.0
italy_secondary,100,-,persistence,-1,2.8796669463628737,13519.6,14660.463157758692,100,0.0
italy_secondary,100,-,moving_avg_7,-1,3.800433006611279,17842.457142857136,19273.831616776064,100,0.0
italy_secondary,100,-,classical_sir,-1,47.52208126688355,223108.9712326748,245858.28728962367,100,0.0
italy_secondary,100,daily,pinn_split,1,1.3799162512404797,6478.497721354167,7242.789049005337,100,0.0
italy_secondary,100,daily,pinn_split,2,1.1204226644190118,5260.2146484375,6089.583923798913,100,0.0
italy_secondary,100,daily,pinn_split,3,1.1464854452918254,5382.575455729167,6211.374299225197,100,0.0
italy_secondary,100,weekly,pinn_split,1,0.57666145345882,2707.3381510416666,3319.8476246887108,15,0.0
italy_secondary,100,weekly,pinn_split,2,0.782237676390144,3672.487369791667,4106.819754672973,15,0.0
italy_secondary,100,weekly,pinn_split,3,0.9349099744642744,4389.260677083334,4784.995764597922,15,0.0
italy_secondary,100,sparse20,pinn_split,1,1.1707723435079551,5496.598763020834,6334.112238391938,76,0.0
italy_secondary,100,sparse20,pinn_split,2,0.8132660200877009,3818.1607421875,4656.3367144965805,76,0.0
italy_secondary,100,sparse20,pinn_split,3,0.9446058577865812,4434.781380208334,5286.322933587653,76,0.0
italy_secondary,100,sparse30,pinn_split,1,0.6115072154561737,2870.9337239583333,3450.6743250406525,68,0.0
italy_secondary,100,sparse30,pinn_split,2,0.9689901172606176,4549.261783854166,5392.360594553756,68,0.0
italy_secondary,100,sparse30,pinn_split,3,0.9268314722778028,4351.333333333333,5182.578455915394,68,0.0
italy_secondary,100,sparse40,pinn_split,1,0.525415582087475,2466.746549479167,3188.1619069493163,69,0.0
italy_secondary,100,sparse40,pinn_split,2,0.6220268352038018,2920.321744791667,3638.4756252495113,69,0.0
italy_secondary,100,sparse40,pinn_split,3,1.0716615227945685,5031.2884765625,5849.514103845094,69,0.0
italy_secondary,150,-,persistence,-1,0.3569853758278881,1293.6,1521.1848013965955,150,0.0
italy_secondary,150,-,moving_avg_7,-1,0.2439510453245618,884.0000000000002,1102.4570406735188,150,0.0
italy_secondary,150,-,classical_sir,-1,8.067318123223364,29233.362010978155,30094.862952749907,150,0.0
italy_secondary,150,daily,pinn_split,1,0.9798782606295808,3550.763151041667,3604.1847521471855,150,0.0
italy_secondary,150,daily,pinn_split,2,0.3423318811094179,1240.5004557291666,1427.314158139724,150,0.0
italy_secondary,150,daily,pinn_split,3,0.2449974039748509,887.7916666666666,1088.761872444196,150,0.0
italy_secondary,150,weekly,pinn_split,1,1.4116521159338595,5115.37250773112,5245.424842390586,22,0.0
italy_secondary,150,weekly,pinn_split,2,1.369852796277996,4963.905238850912,5100.494114462022,22,0.0
italy_secondary,150,weekly,pinn_split,3,1.443909725261123,5232.263692220052,5358.378375436916,22,0.0
italy_secondary,150,sparse20,pinn_split,1,0.7878024755876015,2854.7423828125,2920.050024045184,118,0.0
italy_secondary,150,sparse20,pinn_split,2,0.343221950716114,1243.72578125,1388.517170767867,118,0.0
italy_secondary,150,sparse20,pinn_split,3,0.3515754734335913,1273.9962565104167,1429.064141590108,118,0.0
italy_secondary,150,sparse30,pinn_split,1,0.4019111815337917,1456.3966471354167,1695.9399367263886,103,0.0
italy_secondary,150,sparse30,pinn_split,2,0.8337952428246702,3021.4053548177085,3209.953975294109,103,0.0
italy_secondary,150,sparse30,pinn_split,3,1.055726857029529,3825.6140299479166,3998.830081393789,103,0.0
italy_secondary,150,sparse40,pinn_split,1,0.2274531638217271,824.2169921875,919.0806947272724,99,0.0
italy_secondary,150,sparse40,pinn_split,2,0.3310057494066338,1199.458203125,1394.001393255293,99,0.0
italy_secondary,150,sparse40,pinn_split,3,0.8334085132309694,3020.003971354167,3232.19378230493,99,0.0
italy_secondary,300,-,persistence,-1,0.0,0.0,0.0,300,0.0
italy_secondary,300,-,moving_avg_7,-1,0.0,0.0,0.0,300,0.0
italy_secondary,300,-,classical_sir,-1,2.534180120539526,5554.278684794009,5574.90206649786,300,0.0
italy_secondary,300,daily,pinn_split,1,0.4995330839232836,1094.8495483398438,1217.848215046243,300,0.0
italy_secondary,300,daily,pinn_split,2,0.4491483742043652,984.4190714518228,1021.5558492454278,300,0.0
italy_secondary,300,daily,pinn_split,3,0.0154427892959265,33.84666887919108,36.11330828626381,300,0.0
italy_secondary,300,weekly,pinn_split,1,4.509799119224668,9884.333365885415,10157.133854589125,43,0.0
italy_secondary,300,weekly,pinn_split,2,0.0231819117918979,50.808858255545296,75.80004153289528,43,0.0
italy_secondary,300,weekly,pinn_split,3,0.6176585724923866,1353.750594075521,1366.6242835870398,43,0.0
italy_secondary,300,sparse20,pinn_split,1,0.2059620677084183,451.4165008544922,481.59628809292406,238,0.0
italy_secondary,300,sparse20,pinn_split,2,0.2613025227116016,572.7087117513021,608.0851681517007,238,0.0
italy_secondary,300,sparse20,pinn_split,3,0.0483585911523931,105.98973999023436,110.02018846035196,238,0.0
italy_secondary,300,sparse30,pinn_split,1,0.6115282779827014,1340.3145467122397,1445.1312079561349,210,0.0
italy_secondary,300,sparse30,pinn_split,2,1.242392634312229,2723.008862304688,2990.9420845016584,210,0.0
italy_secondary,300,sparse30,pinn_split,3,0.0144511702737397,31.673292032877605,33.331387722266804,210,0.0
italy_secondary,300,sparse40,pinn_split,1,0.5485570512132432,1202.2976236979166,1203.2576513034169,191,0.0
italy_secondary,300,sparse40,pinn_split,2,1.6968305316443295,3719.021223958333,3727.0213370638776,191,0.0
